0	61	12	147
10	53	10	155
28	52	10	153
28	60	12	139
41	54	10	128
42	61	12	255
58	61	12	158
66	51	10	124
75	60	12	172
92	58	11	139
106	52	10	133
107	58	12	222
116	56	10	129
118	105	5	117
125	52	10	197
127	56	12	160
140	53	12	102
143	100	6	134
155	50	12	172
156	105	8	132
190	58	13	91
201	67	7	175
207	61	7	62
213	65	8	104
220	111	9	118
225	124	10	127
226	64	16	51
227	118	9	73
242	127	9	118
244	105	8	117
244	74	10	122
248	74	12	124
256	72	9	81
260	104	7	156
260	70	15	55
260	123	7	110
263	79	16	132
263	90	16	60
270	76	12	135
275	69	15	92
275	94	5	244
275	120	4	138
277	71	9	165
277	82	17	88
278	74	13	153
278	136	7	84
284	142	8	107
286	75	12	151
286	79	16	96
287	90	4	129
292	141	5	117
295	68	7	127
296	73	11	181
297	84	4	104
301	143	16	61
320	79	17	53
322	81	6	72
326	151	13	58
328	93	3	149
328	135	16	81
329	87	4	131
330	82	16	60
330	122	6	131
331	147	9	197
336	73	12	174
336	126	12	97
338	144	16	72
339	100	9	119
339	108	16	64
339	141	10	71
340	130	5	109
341	83	12	83
344	122	3	215
345	87	19	50
346	141	13	109
348	103	3	167
352	132	10	79
360	83	13	116
361	112	4	129
366	88	12	87
372	115	5	67
376	109	6	107
377	131	14	106
378	94	9	57
387	118	8	80
389	127	12	79
392	91	12	113
395	95	9	104
396	116	7	73
403	127	15	56
404	92	10	157
407	112	7	109
412	122	9	223
416	123	16	102
417	86	11	78
427	124	11	121
430	126	15	90
434	119	7	67
450	137	9	61
471	106	7	87
477	124	13	60
491	95	16	79
492	102	6	152
500	101	5	91
